song_id,project_id,title,audio,video,release_date,feature,featured_by,producers,genre,duration,youtube,verified_date,verified_by,confidence_level,notes
1,1,Agenda,TRUE,FALSE,01/02/2026,,,"Shatta Wale,Nawtyboi",shatta music,02:15:00,TRUE,02/02/2026,crys,Best,released after diss songs to stonebwoy
2,1,Wake Up,TRUE,FALSE,01/02/2026,,,,shatta music,02:20:00,TRUE,02/02/2026,crys,Best,released after diss songs to stonebwoy
3,1,48Hrs,TRUE,FALSE,01/02/2026,,,Shatta Wale,shatta music,03:28:00,TRUE,02/02/2026,crys,Best,
4,1,Which Gad,TRUE,FALSE,31/01/2026,,,Shatta Wale,shatta music,02:50:00,TRUE,02/02/2026,crys,Best,stonebwoy diss
5,1,Big Lie That,TRUE,FALSE,30/01/2026,,,DJ Mac Riddim,,02:18:00,TRUE,02/02/2026,crys,Best,stonebwoy diss
6,3,Check Your Balance,TRUE,FALSE,26/01/2026,,,Shatta Wale,,02:23:00,TRUE,02/02/2026,crys,Best,
7,3,Word Is My Bond,TRUE,FALSE,26/01/2026,,,Shatta Wale,,02:02:00,TRUE,02/02/2026,crys,Best,
8,3,More Dan Dem,TRUE,FALSE,26/01/2026,,,Shatta Wale,,02:01:00,TRUE,02/02/2026,crys,Best,
9,3,1 Man 1000 Cases,TRUE,FALSE,26/01/2026,,,Shatta Wale,,02:17:00,TRUE,02/02/2026,crys,Best,
10,3,Bow Down,TRUE,FALSE,26/01/2026,,,Shatta Wale,,01:30:00,TRUE,02/02/2026,crys,Best,
11,3,Silence Is Not Power,TRUE,FALSE,03/02/2026,,,Shatta Wale,shatta music,04:13:00,TRUE,03/02/2026,crys,Best,stonebwoy diss
12,3,Bigger Everyday,TRUE,FALSE,26/01/2026,,,Shatta Wale,,02:04:00,TRUE,03/02/2026,crys,Best,
13,3,Lambo Drama,TRUE,FALSE,26/01/2026,,,Shatta Wale,,02:15:00,TRUE,03/02/2026,crys,Best,
14,3,God Soldiers,TRUE,FALSE,26/01/2026,,,Shatta Wale,,02:33:00,TRUE,03/02/2026,crys,Best,
15,3,Forever Vibes,TRUE,FALSE,26/01/2026,,,Shatta Wale,,02:27:00,TRUE,03/02/2026,crys,Best,
16,3,Hold You Close,TRUE,FALSE,26/01/2026,,,Shatta Wale,,02:37:00,TRUE,03/02/2026,crys,Best,
17,3,Bad Boy Sweet,TRUE,FALSE,26/01/2026,,,Shatta Wale,,02:04:00,TRUE,03/02/2026,crys,Best,
18,3,Soft Life,TRUE,FALSE,26/01/2026,,,Shatta Wale,,02:03:00,TRUE,03/02/2026,crys,Best,
19,1,Tell Ya Man,TRUE,TRUE,24/01/2026,,,Shatta Wale,,02:14:00,TRUE,03/02/2026,crys,Best,
20,2,Lonely Victory,TRUE,FALSE,13/01/2026,,,"Shatta Wale,Nawtyboi",Dancehall,02:34:00,TRUE,03/02/2026,crys,Best,
21,1,My Fav Youtubers,TRUE,FALSE,03/02/2026,,,"Shatta Wale,Nawtyboi",shatta music,02:45:00,TRUE,04/02/2026,crys,Best,
22,1,Settings,TRUE,FALSE,03/02/2026,,,"Shatta Wale,Nawtyboi",shatta music,02:26:00,TRUE,04/02/2026,crys,Best,
23,2,Worldwide Whine,TRUE,FALSE,13/01/2026,,,Shatta Wale,Dancehall,02:22:00,TRUE,04/02/2026,crys,Best,
24,2,Vip Girl,TRUE,FALSE,13/01/2026,,,Shatta Wale,Dancehall,02:56:00,TRUE,04/02/2026,crys,Best,
25,2,Born Fi Par,TRUE,FALSE,13/01/2026,,,Shatta Wale,Dancehall,02:46:00,TRUE,04/02/2026,crys,Best,
26,2,Rise Anyway,TRUE,FALSE,13/01/2026,,,Shatta Wale,Dancehall,02:30:00,TRUE,04/02/2026,crys,Best,
27,2,Boss A Di Whole Place,TRUE,FALSE,13/01/2026,,,Shatta Wale,Dancehall,02:25:00,TRUE,04/02/2026,crys,Best,
28,1,2026,TRUE,FALSE,31/12/2025,,,Shatta Wale,,01:58:00,TRUE,04/02/2026,crys,Best,
29,1,Top Boss,TRUE,FALSE,06/02/2026,,,Shatta Wale,shatta music,01:42:00,TRUE,06/02/2026,crys,Best,
30,1,Destiny,TRUE,FALSE,07/02/2026,,,Shatta Wale,shatta music,03:13:00,TRUE,07/02/2026,crys,Best,
31,1,Already,,,,,Beyoncé,,,,,,,,
32,1,Street Crown,,,,,,Shatta Wale,,,,,,,
33,1,My Level,,,,,,Shatta Wale,,,,,,,
34,1,Thunder Fire,,,,,,Shatta Wale,,,,,,,
35,1,Bullet Proof,,,,,,Shatta Wale,,,,,,,
